Field,Value
statement_date,31JUL26
customer_no,Z63461611
page_no,1
customer_name,VIVE COLLISION - LEE'S AUTO BODY (W60) VIVE COLLISION - LEE'S
billing_line1,CHURCHILL OPCO HOLDINGS LLC
billing_line2,1100 ST GEORGES AVE
billing_line3,AVENEL NJ 07001
current,"23,891.43"
over_30_days,194.93
over_60_days,100.00-
over_90_days,0.00
over_120_days,0.00
balance_due,"23,986.36"
