page,transaction_date,description,doc_no,your_po_no,orig_inv_no,amount,due_date,balance
3,07/22/26,2019 Rogue / Rogue Hybrid,40852688,2107528,,100.00,08/10/26,100.00
3,07/23/26,2015 TLX,40862615,2107532,,207.00,08/10/26,207.00
3,07/23/26,Return,40869007,2107383,40645513,-93.00,,-93.00
3,07/23/26,2020 CR-V / CR-V Hybrid,40869464,2107498,,16.00,08/10/26,16.00
4,07/24/26,Return,40874420,2107510,40810004,-99.00,,-99.00
4,07/24/26,2014 RX 350,40877163,2107597,,172.00,08/10/26,172.00
4,07/27/26,Return,40885864,2107497,40784915,-75.00,,-75.00
4,07/28/26,2025 Crosstrek / Crosstrek,40896760,2107504,,35.00,08/10/26,35.00
4,07/28/26,2018 Mazda6,40902441,2107510,,45.00,08/10/26,45.00
4,07/28/26,Return,40903256,2107528,40852688,-100.00,,-100.00
4,07/29/26,2016 RAV4 / RAV4 Hybrid,40909171,2107570,,16.00,08/10/26,16.00
4,07/29/26,Return,40915123,2107510,40791569,-18.00,,-18.00
4,07/30/26,2018 Golf / Golf SportWagen,40923923,2107615,,235.00,08/10/26,235.00
4,07/30/26,2018 Golf / Golf SportWagen,40923924,2107615,,145.00,08/10/26,145.00
